url,type
mp3raid.com/music/krizz_kaliko.html,benign
bopsecrets.org/rexroth/cr/1.htm,benign
http://buzzfil.net/m/show-art/ils-etaient-loin-de-s-imaginer-que-le-hibou-allait-faire-ceci-quand-ils-filmaient-2.html,benign
espn.go.com/nba/player/_/id/3457/brandon-rush,benign
yourbittorrent.com/?q=anthony-hamilton-soulife,benign
allmusic.com/album/crazy-from-the-heat-r16990,benign
corporationwiki.com/Ohio/Columbus/frank-s-benson-P3333917.aspx,benign
myspace.com/video/vid/30602581,benign
quickfacts.census.gov/qfd/maps/iowa_map.html,benign
nugget.ca/ArticleDisplay.aspx?archive=true&e=1160966,benign
uk.linkedin.com/pub/steve-rubenstein/8/718/755,benign
baseball-reference.com/players/h/harrige01.shtml,benign
192.com/atoz/people/oakley/patrick/,benign
nytimes.com/1998/03/29/style/cuttings-oh-that-brazen-raucous-glorious-hibiscus.html,benign
escholarship.org/uc/item/5xt4952c,benign
songfacts.com/detail.php?id=13410,benign
casamanana.org/education/blba/,benign
http://hollywoodlife.com/2014/05/01/rihanna-iheartradio-music-awards-dress-2014-pics/,benign
en.wikipedia.org/wiki/North_Dakota,benign
soaps.sheknows.com/daysofourlives/news/id/20259/Days_Of_Our_Lives_Casts_Ruta_Lee/,benign
perfectpeople.net/celebrity-star/6920/gidget-gein.htm,benign
media.caltech.edu/press_releases/13186,benign
wikiobits.com/Obits/TonyProudfoot,benign
vanderbilt.rivals.com/viewcoach.asp?coach=2079&sport=1&year=2011,benign
movies.yahoo.com/shop?d=hv&cf=info&id=1800340831,benign
cyndislist.com/us/pa/counties,benign
psychology.wikia.com/wiki/Phonemes,benign
info.centriq.com/content/fivereasons,benign
articles.baltimoresun.com/1991-06-11/sports/1991162162_1_james-koehler-texas-rangers-terrell-lowery,benign
infinitysw.com/,benign
strawberrycreekgardens.com/,benign
spoke.com/dir/p/desantis/nick,benign
wordsmith.org/words/pignus.html,benign
http://interpark.com/displaycorner/FreeMarket.do?_method=itemCateList&free1=pc&free2=007001008003&free3=item&disp_no=007001008003,benign
almanac.logos.com/Denominations,benign
gaming.wikia.com/wiki/Backbreaker_(video_game),benign
ceu.hu/,benign
registry.weddingchannel.com/coupledir/20108/C/R314763282/JARED_CLOUGH_AND_TAJAI_RITCHIE.htm,benign
linkedin.com/pub/george-cleveland/7/80a/599,benign
sunshinemills.com/,benign
agoda.com/north_america/canada/montreal_qc/attractions/hotels_near_mcgill_university_centre_for_continuing_education.html,benign
ctv.ca/generic/WebSpecials/sponsorship_scandal/,benign
veoox.com/tags/game.html,benign
chuckwalkertrio.blogspot.com/,benign
aerosolesshoes.org/,benign
recipelink.com/msgbrd/board_14/2007/DEC/29094.html,benign
ideas.repec.org/f/pma235.html,benign
peopleaz.org/firstname/Fowlkes/6,benign
orensamtraktrip.wordpress.com/,benign
alexa.com/whatshot?q=james+arness,benign
jpopasia.com/group/arashi/discography/,benign
kitsapsun.com/photos/2011/feb/25/177999/,benign
local.yahoo.com/info-42862457-oakland-international-airport-oakland,benign
tripadvisor.com/Restaurant_Review-g680765-d1768647-Reviews-Yacha_Yacha-Miyakojima_Okinawa_Prefecture_Kyushu_Okinawa.html,benign
articles.elitefts.com/articles/training-articles/five-great-exercises-for-building-a-dominant-defensive-lineman/,benign
broadwaystars.com/classic/?source=www.playbill.com,benign
forums.networkinfrastructure.info/motorola-wireless-lan-switches/,benign
youtube.com/watch?v=mwpoPQ1SPJU,benign
mccall-idchamber.org/,benign
chacha.com/question/who-said-the-quote-%27say-what-you-mean%2C-mean-what-you-say-and-put-a-beat-to-it%27,benign
friars.com/sports/m-baskbl/archive/prov-m-baskbl-2003.html,benign
pipl.com/directory/name/Whissell/180,benign
spokeo.com/John+Collet,benign
http://fanpage.gr/family/gineka/%ce%b1%cf%85%cf%84%ce%bf%ce%af-%ce%b5%ce%af%ce%bd%ce%b1%ce%b9-%ce%bf%ce%b9-13-%cf%89%cf%81%ce%b1%ce%b9%cf%8c%cf%84%ce%b5%cf%81%ce%bf%ce%b9-%ce%ad%ce%bb%ce%bb%ce%b7%ce%bd%ce%b5%cf%82-%ce%b1%ce%bd-2/,benign
faqs.org/copyright/handbook-for-the-individual-or-group-culture-free/,benign
duckduckgo.com/1/c/Roman_Catholic_cathedrals_in_Canada,benign
http://worldoftanks.ru/ru/content/guide/payments_instruction/mobile-payments-rostelekom-ural-utel/,benign
en.wikipedia.org/wiki/Lloyd_Bacon,benign
http://serverfault.com/questions/682832/squid-transparent-https-certificate-error-ssl-error-bad-cert-domain,benign
ciajfk.com/harold.html,benign
indyweek.com/artery/archives/2011/10/07/come-back-to-the-1980s-at-the-escapism-film-festival-which-begins-friday,benign
linkedin.com/pub/charles-gariepy/2/642/28,benign
eyeappealoptometry.com/,benign
brophygen.com/,benign
icehockey.wikia.com/wiki/Dan_Blackburn,benign
gurufocus.com/news/116068/who-is-the-warren-buffett-of-canada-prem-watsa-of-fairfax-financial-ffh-or-paul-desmarais-of-power-corporation-of-canada-pow,benign
stewstew.com/,benign
livingharvest.com/products/ice-cream-bars,benign
http://icicibank.com/Personal-Banking/offers/offer-detail.page?id=offer-readers-digest-magazine-offer-20150202203953555,benign
bleacherreport.com/articles/300242-doug-harvey-one-of-the-best-ever-to-play-the-game,benign
artfacts.net/it/istituzion/ms--muzeum-sztuki-lodz-2724/visione-generale.html,benign
parsippanysoccerclub.org/,benign
international.uiowa.edu/services/language/allnet/resources/languages/turkish.asp,benign
btscene.eu/verified-search/torrent/franco+piersanti/,benign
signature-editions.com/,benign
en.wikipedia.org/wiki/Blessed_by_a_Broken_Heart,benign
national.ca/Bold-Thinking/NATIONAL-Publications.aspx,benign
http://motthegioi.vn/the-gioi-cuoi/clip-dai-gia-mac-ca-voi-co-ban-banh-my-185682.html,benign
metroactive.com/papers/metro/01.29.98/idiotflesh-9804.html,benign
https://twitter.com/home?status=%E3%83%8C%E3%81%91%E3%82%8B%EF%BC%81%E3%80%90%E3%82%A2%E3%83%8B%E3%83%A1%E3%80%91+http%3A%2F%2Fero-video.net%2Ft%2FwjfL4fhPp1lPxTZb+%E3%82%A2%E3%83%AA%E3%82%B5%E5%86%8D%E3%81%B3%EF%BC%81%E3%82%A8%E3%83%AD%E3%82%A2%E3%83%8B%E3%83%A1+%23ero+%23douga+%23agesage,benign
http://correios.com.br/para-sua-empresa/comunicacao/certificados-digitais/ajuda-interativa/informacoes-sobre-a-baixa-dos-certificados-a1,benign
http://olx.ro/i2/electronice-si-electrocasnice/electrocasnice/masini-de-cusut/gtm.start,benign
msn.foxsports.com/nhl/player/yann-sauve/720461,benign
hallmark.businessgreetings.com/,benign
musicstack.com/records-cds/toni+tony+tone,benign
nudecelebsnow.com/tags/1/victoria+justus.htm,benign
worldwrestlinginsanity.com/am2/publish/ringofhonorlive/roh_sinclair_tv2.shtml,benign
http://slashdot.org/submission/2916707/facebook-to-include-profile-photos-in-its-facial-recognition-database,benign
facebook.com/people/Yui-Takeshita/100001611015714,benign
sportsposterwarehouse.com/items_388__grandprixclassicscoll.html,benign
http://www.garage-pirenne.be/index.php?option=com_content&view=article&id=70&vsig70_0=15,defacement
http://adventure-nicaragua.net/index.php?option=com_mailto&tmpl=component&link=aHR0cDovL2FkdmVudHVyZS1uaWNhcmFndWEubmV0L2luZGV4LnBocD9vcHRpb249Y29tX2NvbnRlbnQmdmlldz1hcnRpY2xlJmlkPTQ3OmFib3V0JmNhdGlkPTM2OmRlbW8tYXJ0aWNsZXMmSXRlbWlkPTU0,defacement
http://www.pashminaonline.com/pure-pashminas,defacement
http://www.ikenmijnkunst.nl/index.php/exposities/exposities-2006,defacement
http://www.lebensmittel-ueberwachung.de/index.php/aktuelles.1,defacement
http://www.szabadmunkaero.hu/cimoldal.html?start=12,defacement
http://larcadelcarnevale.com/catalogo/palloncini,defacement
http://www.vnic.co/khach-hang.html,defacement
http://peluqueriadeautor.com/index.php?option=com_virtuemart&page=shop.browse&category_id=31&Itemid=70,defacement
http://www.raci.it/component/user/reset.html,defacement
http://earth-sure.com/industrial-tech/everlast-impact-resistant-dumpster-enclosure,defacement
http://www.newtec.ac.uk/courses/health-and-social-care/level-2-diploma-in-health-a-social-care-.html,defacement
http://www.kingsmillshotel.com/spring/mothers-day,defacement
http://www.approvi.com.br/ck.htm,defacement
http://www.shaborooz.ir/index.php?view=article&catid=7:1390-01-27-09-09-55&id=23:1390-04-12-08-07-33&tmpl=component&print=1&layout=default&page=&option=com_content&Itemid=2,defacement
http://www.juventudelirica.com.br/index.html,defacement
http://www.myenrg.com/southwest/9-texas,defacement
http://www.musimagen.com/lista_socios.php?letra=\303%91,defacement
http://www.pn-wuppertal.de/links/2-linkseite/5-httpwwwkrebshilfede,defacement
http://asociacionkaribu.org/index.php/servicios/centro-jambo,defacement
http://www.parafiapiaski.pl/index.php?option=com_user&view=remind,defacement
http://www.artedesignsas.it/catalogo.html?page=shop.browse&category_id=14,defacement
http://www.viamanaus.com.br/index.php?option=com_wrapper&view=wrapper&Itemid=297,defacement
http://www.protect-effect.nl/diensten/62-telefonie,defacement
http://www.gst-ukraine.com.ua/ukraine/tours/2754-arboretum-alexandria-sofiyivka,defacement
http://www.bg-ricevimenti.it/index.php/location/osteria-del-molo.html?fontstyle=f-smaller,defacement
http://www.boeuf-soufflenheim.com/de.feed?type=rss,defacement
http://www.trenker-bestattungen.de/index.php?option=com_content&view=article&id=13&Itemid=14,defacement
http://www.aba-diagnostic.com/espace-prive/reset.html,defacement
http://www.paoarapanui.cl/index.php?option=com_contact&view=contact&id=1&Itemid=6,defacement
http://www.tiendagnulinux.com.ar/calcomanias-en-vinilo?page=shop.browse&category_id=52,defacement
http://chelurao.ru/index.php?option=com_content&view=article&id=9&Itemid=10&lang=ru,defacement
http://www.familienbund.org/index.php?option=com_content&view=article&id=291:stellungnahme-des-familienbundes-der-katholiken-zum-referentenentwurf-eines-gesetzes-zur-erweiterung-der-grosselternzeit-&catid=5:stellungnahmen&Itemid=8,defacement
http://www.vanoorschotkranen.nl/hoogwerker/hoogwerkers.pdf,defacement
http://www.academiedumeuble.ca/index.php?option=com_seminar&task=3&cid=516&sem_midx=0&sem_jidx=0&Itemid=69,defacement
http://maslen.sk/index.php?option=com_contact&view=contact&id=37:iados-o-obchodnu-spolupracu&catid=29:dopytformular&Itemid=5,defacement
http://www.clinicatecma.es/index.php/densiometria,defacement
http://www.perthshire-caravans.co.uk/stock-list/caravans/706-elddis-odyssey-540,defacement
http://rendeck.com/index.php/nl/vacatures/table/9/0/index.html?resetfilters=0,defacement
http://listovka.info/xmap.html,defacement
http://www.jnpiraq.net/arabic/index.php?option=com_content&view=article&id=610&catid=5&Itemid=10,defacement
http://www.versverwerktegroenten.nl/bruine-bonen.html,defacement
http://ecoledecoiffurecarolinelaprise.com/formations/pose-ongles/108.html,defacement
http://www.nabu-gaildorf.de/index.php?option=com_jevents&task=day.listevents&year=2013&month=01&day=01&Itemid=33,defacement
http://kccs.nichost.ru/index.php?option=com_content&view=article&id=107:-24052012-213&catid=17:news&Itemid=35,defacement
http://www.nubiafarias.com/v1/index.php?option=com_mailto&tmpl=component&link=b9f337d1ca40d09a113ab5ae6426a96e642fb2af,defacement
http://www.elektro-vozila.si/motocikli/novice/volta-bcn-city-je-elektricni-mestni-supermoto-iz-spanije,defacement
http://www.musimagen.com/lista_socios.php?pagina=15&letra=,defacement
http://sexshop-bg.biz/products?page=shop.browse&category_id=276,defacement
http://mueblesjulianjimenez.es/index.php?page=shop.browse&category_id=14&option=com_virtuemart&Itemid=9,defacement
http://fischereiverein.org/bildergalerie/category/45-faenge-oktober-2010,defacement
http://www.expatsalon.ru/index.php/2009-03-04-07-22-09/category/7-.html?start=20,defacement
http://apoiojur.com.br/index.php?%2FTable%2FAdministrativo%2F,defacement
http://www.steffen-lemme.de/contact/berliner-buero/besuch-in-berlin,defacement
http://djsipke.nl/foto-album/1-cafedeknyp/detail/74-104.html?tmpl=component,defacement
http://www.harley-davidson-dijon.com/component/adsmanager/1-/737-,defacement
http://www.smartphone.net.br/index.php?option=com_content&view=article&id=66&Itemid=60&lang=pt,defacement
http://www.annamodlo.com.ua/index.html,defacement
http://www.aquamarinadivingtenerife.com/en/sites-of-interest.html,defacement
http://www.lafavoritacb.com/index.php?option=com_content&view=article&id=107:horarioinvierno&catid=43:articulos&Itemid=77,defacement
http://www.sidecocarrelli.it/x.txt,defacement
http://www.metalsul.ind.br/site/index.php?option=com_morfeoshow&Itemid=,defacement
http://www.school91.kiev.ua/index.php?option=com_content&view=category&layout=blog&id=38&Itemid=57,defacement
http://djkatrina.ru/sobytiya/meropriyatiya/klub-prime-otkryvaetsya-posle-remonta-i-razdaet-podarki.html,defacement
http://szgs.ru/information-for-you/interesting-articles/13-2008-08-04-06-37-10.html,defacement
http://www.sandroecicero.com.br/index.php?option=com_content&view=article&id=1&Itemid=3&vsig1_0=18,defacement
http://www.ekino-neureut.de/index.php?option=com_content&view=article&id=15&Itemid=15,defacement
http://www.rockabilly.it/gruppi/52-four-stars.html,defacement
http://www.rathgaelgym.org/squads/mag.1,defacement
http://apoiojur.com.br/index.php?%2FNoticias%2Fnoticias.html,defacement
http://www.graz4u.at/de/produkte/187-high-level-e-mail-security.html,defacement
http://www.richpictures.co.uk/home/viewpost/232,defacement
http://www.simmeurope.com/index.php?view=article&id=23:budget-economique-exploratoire-pour-lannee-2012&tmpl=component&print=1&layout=default&page=&option=com_content&Itemid=48,defacement
http://spplodz.nazwa.pl/archiwum/2006_08b.php,defacement
http://www.bertilohlsson.com/de/component/user/login?return=aHR0cDovL3d3dy5iZXJ0aWxvaGxzc29uLmNvbS9iaWxkZXJnYWxlcmllL2tsYXNzaXNjaGUtZG9zZW4vcnVuZGUtZm9ybT9sYW5nPWRl,defacement
http://www.besztercekk.hu/index.php?option=com_lr&view=stadium&id=1&Itemid=162,defacement
http://www.manganellipalace.it/de/willkommen-bei.html,defacement
http://www.sikobv.eu/nl/component/mailto/index.html?tmpl=component&link=aHR0cDovL3d3dy5zaWtvYnYuZXUvbmwvY29tcG9uZW50L2NvbnRlbnQvYXJ0aWNsZS8yLXZvb3JwYWdpbmEtdGFiLzI0MC1kZWxvLW5ldy1jYXJ0cmlkZ2Utc3lzdGVtLmh0bWw=,defacement
http://midas-medical.com/products/electrocardiographecg/cardio-max-series/cardio-max-cm-03c/index.html,defacement
http://www.kommunalbit.de/index.php?option=com_content&view=section&id=5&Itemid=14,defacement
http://www.galerie-unterm-maulbeerbaum.de/index.php?option=com_content&view=article&id=58&Itemid=57,defacement
http://www.smos.cn/Case.asp?id=14,defacement
http://www.nissad.com/nissad-contact.html,defacement
http://www.whitminsterinn.co.uk/specialevents/calendar-day/03/01/2013,defacement
http://totallifechurchjax.com/index.php?option=com_content&view=article&id=182:may-29-teamwork-episode-07&catid=66:teamwork,defacement
http://www.dolcevino.it/index.php?option=com_contact&view=contact&id=3&Itemid=111,defacement
http://danielfabri.com.ar/mapa-del-sitio/index.html,defacement
http://bjgdhm.com/cn/product.asp?id_code=0007,defacement
http://www.suiteorchestra.it/index.php?option=com_content&view=article&id=91:i-flauti&catid=38:rokstories&lang=it&Itemid=,defacement
